	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000142945.13|KIF2C|protein_coding	7.757874423412804	1.2843640560185847	0.08436958329407394	15.223069806352798	2.485875059639855e-52	3.985622605236423e-49
ENSG00000134453.16|RBM17|protein_coding	14.098496914458394	0.6251582884936381	0.041168745989026	15.185264293944762	4.4277498602811826e-52	6.591970738417192e-49
ENSG00000099622.14|CIRBP|protein_coding	47.443806176009716	-0.850199388520602	0.05615469938740594	-15.140307005388046	8.78028600117775e-52	1.2200500074836522e-48
ENSG00000135069.14|PSAT1|protein_coding	8.68140013638631	2.55245315041533	0.16908231990277103	15.095919856570992	1.7226860300234044e-51	2.2441215577361136e-48
ENSG00000153574.9|RPIA|protein_coding	14.31906635012124	0.5917581953705482	0.039418128400457664	15.012336185999068	6.096216096947769e-51	7.474319535804844e-48
ENSG00000065328.17|MCM10|protein_coding	2.907406310691525	1.423619798055438	0.09558782539304017	14.89331713742588	3.642405787646121e-50	4.2177035462171163e-47
ENSG00000154839.10|SKA1|protein_coding	3.2652095258294636	1.266607881637814	0.08509118171262924	14.885301345507393	4.1063214639199e-50	4.50463464592013e-47
ENSG00000163918.11|RFC4|protein_coding	8.70073705307242	0.8560832786955804	0.057538440155164315	14.87845823395585	4.548610205562555e-50	4.740334125727017e-47
ENSG00000121152.10|NCAPH|protein_coding	3.0114211214672824	1.0799869271472406	0.0727531789967515	14.844532459474562	7.5479202048629e-50	7.491490515712258e-47
ENSG00000162543.6|UBXN10|protein_coding	4.271166360296454	-1.7530437386081599	0.11851165634322927	-14.792163004886682	1.6457864753308713e-49	1.5592330684236978e-46
ENSG00000186185.14|KIF18B|protein_coding	2.860017871588938	1.2345297145941434	0.08353682764560691	14.77826905076477	2.0229863198345355e-49	1.833265385404836e-46
ENSG00000075218.19|GTSE1|protein_coding	3.433545347351353	1.150784863581601	0.07801963348044168	14.749939370967246	3.0794122404712158e-49	2.6743412220058982e-46
ENSG00000151465.14|CDC123|protein_coding	24.121103847396522	0.701649168289046	0.04790469851327808	14.646771403739551	1.4127082678793372e-48	1.177803137096361e-45
ENSG00000137807.16|KIF23|protein_coding	4.677428695341472	0.9834065365745511	0.06757810114997666	14.55214810478425	5.659748953819392e-48	4.5371595170945227e-45
ENSG00000134802.18|SLC43A3|protein_coding	5.22543879450428	1.113725945461554	0.07669262394220348	14.521943417933802	8.798005176641937e-48	6.791734144323995e-45
ENSG00000166016.6|ABTB2|protein_coding	2.427593647553583	1.418305055729382	0.09770303655536598	14.516489003140268	9.526629907706963e-48	7.09155525594058e-45
ENSG00000183044.12|ABAT|protein_coding	7.5824421888994635	-1.7467446264988522	0.12048428285483845	-14.497697003378942	1.252831963484563e-47	9.004405729278878e-45
ENSG00000124571.18|XPO5|protein_coding	9.285692696783071	0.7402284375532925	0.05112935955306846	14.477561307706008	1.6795098034853562e-47	1.1292265430337187e-44
ENSG00000093009.11|CDC45|protein_coding	4.033505925534178	1.157965958406327	0.0799751740707582	14.479067683951701	1.643107234373449e-47	1.1292265430337187e-44
ENSG00000120254.16|MTHFD1L|protein_coding	4.682534913281558	1.1886736514511624	0.08222221734994467	14.456842563513794	2.269734746260557e-47	1.4783775411346496e-44
ENSG00000152455.16|SUV39H2|protein_coding	3.547086911843908	0.9205060913729649	0.06370068764325867	14.450489083070051	2.4891207126531543e-47	1.5505231749583157e-44
ENSG00000143815.15|LBR|protein_coding	8.61563631218698	0.9423387874108166	0.06521652498850694	14.449386678865276	2.529280235502698e-47	1.5505231749583157e-44
ENSG00000111206.13|FOXM1|protein_coding	8.780827948022383	1.3489817478068638	0.09350165802133407	14.427356437883374	3.4817223107393695e-47	2.073415374935448e-44
ENSG00000175356.14|SCUBE2|protein_coding	45.94887202342288	-2.3854838984516977	0.16549857064223492	-14.413924477985352	4.22976841143805e-47	2.448918416655646e-44
ENSG00000131876.17|SNRPA1|protein_coding	9.561672343027492	0.717927536629917	0.04987511685120435	14.394503350673975	5.602589578094373e-47	3.1560749885465145e-44
ENSG00000169679.15|BUB1|protein_coding	4.865962737614756	1.1417970311671624	0.07938800840872318	14.382487406519965	6.665516872463012e-47	3.6560360045459623e-44
ENSG00000203697.12|CAPN8|protein_coding	8.307290460711886	-2.305475739590063	0.1604556272900559	-14.36830716708022	8.180646461881369e-47	4.3720311334613685e-44
ENSG00000130826.18|DKC1|protein_coding	23.135669463728554	0.6647931405522454	0.04629599066265314	14.359626633684552	9.272533818154563e-47	4.831685559294889e-44
ENSG00000140511.12|HAPLN3|protein_coding	8.81155125163721	1.689897230003244	0.11784752252881463	14.339692458023894	1.236019599917379e-46	6.283501590506812e-44
ENSG00000068489.13|PRR11|protein_coding	3.86353244016799	1.2978756093943482	0.09061417231649098	14.323097328100257	1.5696843096240398e-46	7.789745253689015e-44
ENSG00000163872.16|YEATS2|protein_coding	4.834434291608051	0.7468557115998339	0.05216346389383718	14.317601935328353	1.6988483171624213e-46	8.234673366189848e-44
ENSG00000171793.16|CTPS1|protein_coding	3.6653755252330513	0.9071011427777383	0.06345780596641196	14.294555712466083	2.366109890968246e-46	1.1208370103966172e-43
ENSG00000182446.14|NPLOC4|protein_coding	15.050500759291179	0.5366075468011745	0.03766921821930487	14.24525307844514	4.798066218974361e-46	2.222357648935169e-43
ENSG00000086475.15|SEPHS1|protein_coding	21.829595859735953	0.6487812500524228	0.04556962474124739	14.237142696178005	5.388561916578455e-46	2.4416042614618422e-43
ENSG00000183684.8|ALYREF|protein_coding	39.378037530771515	0.8668567610019805	0.060957087075275355	14.220770751914488	6.8098748480887216e-46	3.019962158696026e-43
ENSG00000112742.10|TTK|protein_coding	4.04925216544611	1.2336693633478533	0.08705438215468148	14.171249428384014	1.380227675228743e-45	5.993351132248477e-43
ENSG00000154277.13|UCHL1|protein_coding	9.7350531434677	1.9612148232119417	0.13881353106293365	14.128412469550893	2.5380144592169836e-45	1.0795884770093794e-42
ENSG00000162607.13|USP1|protein_coding	21.062942574336542	0.7777493757713287	0.05508001829559954	14.120354346967689	2.845568891812625e-45	1.186203848241011e-42
ENSG00000153002.12|CPB1|protein_coding	161.43904229621808	-5.448802842887658	0.38626342307662415	-14.106442695214152	3.4662722695775104e-45	1.4166179002902755e-42
ENSG00000196405.13|EVL|protein_coding	25.513244163921144	-1.3024909853084095	0.09244770355454487	-14.088949051502718	4.4412173376805347e-45	1.780159480178373e-42
ENSG00000145386.11|CCNA2|protein_coding	8.721025223556802	1.1440126359830614	0.08126479402521135	14.077592267423286	5.215670474065017e-45	2.0511362205837196e-42
ENSG00000071539.14|TRIP13|protein_coding	7.001476663836863	1.1425087778643492	0.08122439554519771	14.066079164954754	6.137934206900083e-45	2.369128938415156e-42
ENSG00000080986.13|NDC80|protein_coding	5.150501197511995	1.186464052067028	0.08454011729495745	14.034331747228329	9.609798126907042e-45	3.641764042893154e-42
ENSG00000148459.16|PDSS1|protein_coding	3.1838117434541333	0.9165838033320866	0.06537837695012774	14.019678157983021	1.1814924215213122e-44	4.3974725967444123e-42
ENSG00000100139.13|MICALL1|protein_coding	7.433952186613472	0.9401108467666442	0.06718955173699816	13.99192020876319	1.7463237185785878e-44	6.385723730935703e-42
ENSG00000065978.19|YBX1|protein_coding	107.45676546449563	0.8527828806928852	0.061007097358501225	13.978420833261486	2.1112064275654297e-44	7.586875098232113e-42
ENSG00000089685.15|BIRC5|protein_coding	14.32408689556708	1.327384765618251	0.09501536335757178	13.970211960595227	2.369205087125847e-44	8.369718920502378e-42
ENSG00000099901.17|RANBP1|protein_coding	14.372055851094602	0.6817981646674572	0.04902968897998685	13.905822754571348	5.839152539561914e-44	2.0284242730348163e-41
ENSG00000090539.15|CHRD|protein_coding	4.125478189911714	-2.0129330324346615	0.14525359582126954	-13.858059905873306	1.1370616981170999e-43	3.885209339976182e-41
ENSG00000166451.13|CENPN|protein_coding	2.138556728473049	1.0078270053048206	0.07294071077670397	13.817071352514205	2.0108574774132576e-43	6.760048774471698e-41
ENSG00000123485.12|HJURP|protein_coding	4.484522052181536	1.0898943663470986	0.07894435970651983	13.80585478682509	2.349687263247336e-43	7.773735179026066e-41
ENSG00000112578.10|BYSL|protein_coding	16.21892154615807	0.739352984391767	0.05356355509387816	13.803284399176642	2.4350069933437612e-43	7.930132931603752e-41
ENSG00000178999.13|AURKB|protein_coding	6.886268149453659	1.2892372297991077	0.09346507375485046	13.793786042266955	2.7778975174502896e-43	8.907648916340982e-41
ENSG00000088325.16|TPX2|protein_coding	24.785576022611917	1.1706100126419667	0.0849965350964507	13.772443915667914	3.733655853293907e-43	1.179099832578862e-40
ENSG00000115648.14|MLPH|protein_coding	48.810079945824896	-1.460107221454997	0.10608767819532593	-13.763212149545634	4.24250068755746e-43	1.3197976392650768e-40
ENSG00000237940.3|LINC01238|lncRNA	6.218374391076464	-3.118089080967255	0.2266248761464958	-13.758812068590595	4.508745278664432e-43	1.3819967329882758e-40
ENSG00000174371.17|EXO1|protein_coding	3.938307498487175	1.1651173515516722	0.08469503471865844	13.756619327472748	4.6475665327294246e-43	1.4039018730678173e-40
ENSG00000146410.12|MTFR2|protein_coding	1.8901358115476472	1.1801596349313672	0.08579730465104644	13.75520641040293	4.7392617558052815e-43	1.411149039660707e-40
ENSG00000117399.14|CDC20|protein_coding	22.24974375876777	1.339292843132855	0.0973913220692716	13.75166508346868	4.9770712808938984e-43	1.461085869122134e-40
ENSG00000103257.9|SLC7A5|protein_coding	27.00349916394061	1.5420549609857659	0.11223397216180049	13.739645236494745	5.876302397148828e-43	1.701107928663514e-40
ENSG00000111845.5|PAK1IP1|protein_coding	15.408562911386394	0.7011496749975118	0.05114952246693314	13.707844006770292	9.112553240068187e-43	2.6018211942841263e-40
ENSG00000130309.11|COLGALT1|protein_coding	30.08487299198159	0.5914333818681915	0.04318340246783136	13.695849517850485	1.074957151492969e-42	3.027747555211886e-40
ENSG00000112118.20|MCM3|protein_coding	41.752814005098394	0.6660237293779224	0.048705047401240924	13.67463466139555	1.439283354205486e-42	3.999864393560659e-40
ENSG00000129667.13|RHBDF2|protein_coding	5.181050463297501	0.7980899333803205	0.05846933784657487	13.649717318067296	2.02663185500335e-42	5.558037862346687e-40
ENSG00000134352.20|IL6ST|protein_coding	58.10637024697772	-1.2841182739361316	0.09415666227243367	-13.638103167045717	2.3766216126930688e-42	6.433236918618393e-40
ENSG00000136982.6|DSCC1|protein_coding	5.05941901512045	1.0566417843709743	0.07756870432800082	13.622011525459332	2.9629287021393386e-42	7.917477299832081e-40
ENSG00000150753.12|CCT5|protein_coding	38.45177085965503	0.6732977436334986	0.049485074743378925	13.606077127802772	3.684990463365632e-42	9.722310914927832e-40
ENSG00000111665.12|CDCA3|protein_coding	3.4376246399805535	1.1642715874091238	0.08562697706356563	13.597018455349891	4.170929423424525e-42	1.0866835246554672e-39
ENSG00000091651.9|ORC6|protein_coding	2.007651986628662	1.187443568398373	0.0874566285658723	13.577513652998766	5.4443382074914947e-42	1.4009424846758672e-39
ENSG00000024526.17|DEPDC1|protein_coding	2.252143306629553	1.253142596159174	0.0923276791005711	13.572772632940824	5.808264313393265e-42	1.4763616229762906e-39
ENSG00000166851.15|PLK1|protein_coding	5.705171575812294	1.1100579515088014	0.08196603872270657	13.542901045445895	8.727298052658655e-42	2.1916032929104137e-39
ENSG00000249992.2|TMEM158|protein_coding	6.234905269642782	1.7019618088641773	0.1257279618939876	13.536859925393943	9.475346275835571e-42	2.3511266955623904e-39
ENSG00000102241.12|HTATSF1|protein_coding	38.284853700835406	0.47704300614114264	0.03525017678825463	13.5330670540096	9.977244209790258e-42	2.446537659584216e-39
ENSG00000141076.18|UTP4|protein_coding	8.065066578743622	0.6364719709320716	0.047085835242681486	13.517270483823433	1.2368014991864908e-41	2.997517865993492e-39
ENSG00000149136.9|SSRP1|protein_coding	28.792510401390587	0.5669670219835976	0.041946827730019086	13.516326565449665	1.2527691913791063e-41	3.0013181903350244e-39
ENSG00000157456.8|CCNB2|protein_coding	10.032859816192293	1.1125311772627227	0.08248181808736796	13.488199012348227	1.8352908885874932e-41	4.346928180776036e-39
ENSG00000112079.9|STK38|protein_coding	20.860762342084588	0.6592848179894757	0.048906053124405845	13.480638405074426	2.0333975692293755e-41	4.7620343298256036e-39
ENSG00000124784.9|RIOK1|protein_coding	10.306662950076399	0.704684806265813	0.05232832618343346	13.466603227391364	2.4592175781125185e-41	5.695274664511025e-39
ENSG00000104419.17|NDRG1|protein_coding	28.04867236876533	1.3653179687884482	0.10152661471408099	13.447882337389593	3.1681600281783027e-41	7.256479062342897e-39
ENSG00000010292.13|NCAPD2|protein_coding	17.707805866676313	0.8515280074969299	0.06337077227851293	13.437235761535081	3.6584943524345467e-41	8.199354600837985e-39
ENSG00000123473.16|STIL|protein_coding	2.7299921659523454	0.9796145843925435	0.07290043382129775	13.437705827566015	3.6353325069577893e-41	8.199354600837985e-39
ENSG00000164758.7|MED30|protein_coding	8.149916597424399	0.7924238709286832	0.05912073713644623	13.403484281662934	5.768986756431797e-41	1.2791807549394463e-38
ENSG00000252621.1|Y_RNA|misc_RNA	22.265834363830294	-2.640813637792954	0.19745617514078753	-13.374175995812928	8.559701888306213e-41	1.877998594294383e-38
ENSG00000136518.17|ACTL6A|protein_coding	16.464009795742495	0.5759268894705144	0.04309300817789527	13.364740913258833	9.71727609931626e-41	2.1097623514380085e-38
ENSG00000085840.13|ORC1|protein_coding	2.4357267167830194	1.1428931697459435	0.08576863979646275	13.325303659451041	1.649602241308345e-40	3.544604073772148e-38
ENSG00000112874.10|NUDT12|protein_coding	6.212684297049286	-0.9719090582582514	0.07298768788451933	-13.316068592226129	1.8668216075693167e-40	3.9704247720987005e-38
ENSG00000169607.13|CKAP2L|protein_coding	2.261816718908124	1.0218372663225486	0.0767813559225195	13.308403505581358	2.068546574790072e-40	4.355021844277724e-38
ENSG00000129810.15|SGO1|protein_coding	1.2898742081986518	1.2107981374594636	0.09101401408238895	13.303425298475556	2.21102419241882e-40	4.6084377242585465e-38
ENSG00000235687.9|LINC00993|transcribed_unprocessed_pseudogene	53.199254180735245	-2.573365783645771	0.19359076940455316	-13.292812418489447	2.5481726032266688e-40	5.258570452381531e-38
ENSG00000111247.15|RAD51AP1|protein_coding	5.5521396570345845	1.0695349662097133	0.08048391073274823	13.288804637751385	2.688386895010464e-40	5.493534122814029e-38
ENSG00000145741.16|BTF3|protein_coding	95.43243050812129	-0.5600429979007246	0.042173537337507616	-13.279488353533075	3.0446739165723115e-40	6.161178489622979e-38
ENSG00000196090.12|PTPRT|protein_coding	5.464992768304622	-2.447466472888632	0.1843227644454051	-13.278156283368633	3.0993156803069217e-40	6.21144583890742e-38
ENSG00000153879.9|CEBPG|protein_coding	16.2718269327086	0.6041789483166538	0.045526158147018034	13.271028632936106	3.4086932431800947e-40	6.766418406438353e-38
ENSG00000115419.13|GLS|protein_coding	7.539735723760076	0.8713791327957907	0.06584493391168834	13.233806779493317	5.597869783119015e-40	1.1007207536749965e-37
ENSG00000135912.11|TTLL4|protein_coding	4.871628871451944	1.0137857626326434	0.07670479135855009	13.21672016411318	7.026148714903029e-40	1.3686543706983536e-37
ENSG00000159212.13|CLIC6|protein_coding	27.239256998970053	-2.9185836170241215	0.220917333831894	-13.211202427623919	7.560692553788447e-40	1.4591436564686352e-37
ENSG00000165304.8|MELK|protein_coding	7.595145714826975	1.2080612902981889	0.09151873098478595	13.200153425412081	8.75565443235181e-40	1.674257847096411e-37
ENSG00000163655.16|GMPS|protein_coding	13.766894677059838	0.5807487936693507	0.044034762127530006	13.18841673284011	1.0231145734230807e-39	1.9386160958052063e-37
ENSG00000100167.20|SEPTIN3|protein_coding	2.9932017653584455	1.6510645589147306	0.12523642006493482	13.18358156563927	1.0908645824126867e-39	2.0483685127232097e-37
ENSG00000198176.13|TFDP1|protein_coding	28.443876150474367	0.7146631098229311	0.05425751424987511	13.171689114463552	1.2770814112995842e-39	2.3766257014033242e-37
ENSG00000166275.16|BORCS7|protein_coding	10.210106084212043	-0.7253033664375504	0.055094987203619904	-13.164598146778332	1.4028202336371307e-39	2.5711812795125014e-37
ENSG00000171428.15|NAT1|protein_coding	48.94722662905649	-2.100655310458894	0.15957077676756132	-13.164411134745631	1.4062978739357345e-39	2.5711812795125014e-37
ENSG00000085999.13|RAD54L|protein_coding	1.423458264806302	1.177101097016923	0.08957717626833298	13.140636332304748	1.9260024541204416e-39	3.4907538392375965e-37
ENSG00000140379.9|BCL2A1|protein_coding	4.976098464766245	1.6071457075361244	0.12233811403990374	13.136917469660455	2.0230125278357453e-39	3.6349698377310726e-37
ENSG00000198522.14|GPN1|protein_coding	10.50511874324836	0.4904230622319434	0.037340411733956656	13.133841847436353	2.1069022182846544e-39	3.753347259462141e-37
ENSG00000105173.14|CCNE1|protein_coding	3.9938777406635815	1.6982667419250315	0.12934629176964563	13.129612907260576	2.2279244762784892e-39	3.93530761517564e-37
ENSG00000109805.10|NCAPG|protein_coding	3.906250672240238	1.0587358696008426	0.08064442636616269	13.128444423346707	2.2625657995840115e-39	3.962912517708366e-37
ENSG00000146670.10|CDCA5|protein_coding	8.276211396598777	1.083639391605514	0.08280293502232629	13.086968370303909	3.9090088502396e-39	6.789622622128665e-37
ENSG00000187244.12|BCAM|protein_coding	78.18524415173157	-1.1211315122417445	0.08580187708713295	-13.066514979657386	5.115595838115566e-39	8.811930913540722e-37
ENSG00000035141.8|FAM136A|protein_coding	14.513686346669886	0.589827760284234	0.04516662361889713	13.05892964816298	5.651681041684257e-39	9.655572782936473e-37
ENSG00000244402.3|RN7SL314P|misc_RNA	4.95379061245879	-2.637693375259344	0.2021966953551265	-13.045185385580378	6.769213836631292e-39	1.1470790568854148e-36
ENSG00000176597.12|B3GNT5|protein_coding	1.0801378725728077	2.0009053698817163	0.15351564288602546	13.03388587811372	7.850537005149352e-39	1.2986408158597456e-36
ENSG00000099256.19|PRTFDC1|protein_coding	3.3773483144833167	1.346952328292782	0.10334137099911364	13.034008696326808	7.837906859377165e-39	1.2986408158597456e-36
ENSG00000100221.10|JOSD1|protein_coding	18.175219571670173	0.474343710011433	0.03639276023014198	13.034013001810234	7.837464466967368e-39	1.2986408158597456e-36
ENSG00000143674.11|MAP3K21|protein_coding	1.2692790174006534	1.430741129946874	0.10996168232312303	13.01126992348692	1.0557291297715167e-38	1.7191064259240407e-36
ENSG00000237649.8|KIFC1|protein_coding	13.163300138202047	1.0447312806905371	0.08029422249289235	13.011288337501702	1.0554747414497666e-38	1.7191064259240407e-36
ENSG00000129195.16|PIMREG|protein_coding	3.065247875213388	1.1916934914275048	0.09164448072585718	13.003439836080302	1.1696159319902735e-38	1.8897910752304862e-36
ENSG00000105185.12|PDCD5|protein_coding	24.439131129196333	0.7305063259272878	0.056215066007951876	12.994849562641345	1.3086484317971347e-38	2.0981660972267442e-36
ENSG00000197299.12|BLM|protein_coding	1.4746364146594937	1.1719688635474788	0.0903030493033272	12.978175959605139	1.6270945759733686e-38	2.5888192554971695e-36
ENSG00000087842.11|PIR|protein_coding	6.029635072607252	1.109173644052426	0.08550345479289025	12.972266988966808	1.7575421134169013e-38	2.7751856265112483e-36
ENSG00000149582.16|TMEM25|protein_coding	10.913148477116179	-0.9417849817637807	0.07271999393499544	-12.950839663238204	2.3239812199726768e-38	3.642010569014324e-36
ENSG00000149503.13|INCENP|protein_coding	6.192394483735458	0.7242145968656861	0.055935930215813875	12.947216468404068	2.4362870316193676e-38	3.789517208958394e-36
ENSG00000213064.10|SFT2D2|protein_coding	10.0198547048471	0.8912291092884387	0.06883964391136277	12.946451472584261	2.4606802804018796e-38	3.799108080327139e-36
ENSG00000179750.16|APOBEC3B|protein_coding	4.1225306746676855	1.5235620066381992	0.11782393946386858	12.930835733135613	3.0152333900929663e-38	4.6210668786549775e-36
ENSG00000166272.18|WBP1L|protein_coding	14.006434555459556	-0.5517173637050762	0.04278241182072675	-12.895892031916404	4.747377952699e-38	7.17280975091711e-36
ENSG00000011426.11|ANLN|protein_coding	8.351737232256463	1.16522509527913	0.09035649244303375	12.895864633233293	4.749065612563264e-38	7.17280975091711e-36
ENSG00000165480.16|SKA3|protein_coding	3.9775842393201426	1.0651899431926637	0.08272849271999883	12.875732509691478	6.165137554766756e-38	9.244601586618957e-36
ENSG00000126261.13|UBA2|protein_coding	26.73687174723538	0.516746107983578	0.04015586818278805	12.868507925949167	6.769727522711778e-38	1.0078673625420113e-35
ENSG00000183943.6|PRKX|protein_coding	5.4180360905577665	1.1088991914320903	0.08621718350797485	12.861695851262876	7.393654706503685e-38	1.0929499648769949e-35
ENSG00000163683.12|SMIM14|protein_coding	41.39681793111395	-0.8768862095031461	0.06821838652774641	-12.854103624196549	8.156586743523593e-38	1.1972375879948046e-35
ENSG00000137309.20|HMGA1|protein_coding	67.66885824682379	0.9509556154693005	0.07400335951320883	12.850168177832044	8.582345900404446e-38	1.2509219272876215e-35
ENSG00000213866.3|YBX1P10|processed_pseudogene	3.7448198375199855	0.8745227614275481	0.06809813662484347	12.842095316724215	9.526080573509165e-38	1.3788340096781354e-35
ENSG00000159388.6|BTG2|protein_coding	108.46238897321284	-1.2384140379907156	0.09644404157923467	-12.84075218864903	9.692810247287345e-38	1.3932913378221387e-35
ENSG00000184216.14|IRAK1|protein_coding	38.57178223444408	0.7598896233586422	0.05919001662887146	12.838138365853851	1.0025638011849073e-37	1.4312628293217138e-35
ENSG00000106105.15|GARS1|protein_coding	7.874261680982697	0.6015084197661948	0.04706073028271302	12.781536031266157	2.079221603760006e-37	2.9481099242972653e-35
ENSG00000175287.19|PHYHD1|protein_coding	7.083743860516565	-1.6620761578826568	0.1303029843015209	-12.755472691528041	2.9060662954768e-37	4.092644580852902e-35
ENSG00000164045.12|CDC25A|protein_coding	2.2775271153564196	1.0875307050685554	0.08531317298591537	12.747512101655152	3.218536050769672e-37	4.5022783158518305e-35
ENSG00000143013.13|LMO4|protein_coding	15.439823264556773	1.2327908419798823	0.0967383173254611	12.743563006500807	3.3857183288811943e-37	4.704568475258049e-35
ENSG00000184661.14|CDCA2|protein_coding	2.9325682125157657	1.2821226254642686	0.10071076320699514	12.730740832825058	3.990349010577333e-37	5.508002942216115e-35
ENSG00000115507.10|OTX1|protein_coding	0.8935447084048759	1.8448001401818666	0.14505680402949023	12.717777373661262	4.710696139175332e-37	6.459542080844174e-35
ENSG00000115758.13|ODC1|protein_coding	21.967231529761943	1.017330507760645	0.0802632782497928	12.674918467627768	8.144332858989174e-37	1.1094923515026886e-34
ENSG00000076003.5|MCM6|protein_coding	18.417109187288727	0.704316719235545	0.05557629876514201	12.672969141250176	8.349318605641522e-37	1.1300314785544561e-34
ENSG00000174282.12|ZBTB4|protein_coding	21.206189946163043	-0.5937725115508034	0.04691854425408008	-12.655390762665624	1.044545470573514e-36	1.4046104027847582e-34
ENSG00000144891.18|AGTR1|protein_coding	10.948578298403818	-3.125061081263497	0.24737723341061232	-12.632775612282492	1.3927727816058018e-36	1.8608694286544698e-34
ENSG00000107130.10|NCS1|protein_coding	5.782494169361379	0.9109650145318401	0.07223335719090843	12.611417355616107	1.826778569734242e-36	2.4251939954758476e-34
ENSG00000125249.7|RAP2A|protein_coding	9.31659444159916	0.7418215426250286	0.058861771059338465	12.60277306092607	2.0384930172736732e-36	2.6891335417110867e-34
ENSG00000164331.10|ANKRA2|protein_coding	6.307564788839835	-0.6740665592959277	0.05360201607191654	-12.575395641677895	2.8835308650312657e-36	3.7799643911853257e-34
ENSG00000138180.16|CEP55|protein_coding	8.064777081988614	1.0666612654047736	0.08483518893795369	12.573335177987316	2.959695565580043e-36	3.855558417086553e-34
ENSG00000114395.11|CYB561D2|protein_coding	11.64316397904675	-0.7602032321542732	0.060470019371611713	-12.571572492519469	3.0264374754436856e-36	3.918014677060419e-34
ENSG00000055044.11|NOP58|protein_coding	19.49804195100504	0.4731929249895432	0.037655020989572734	12.566529311471575	3.225766151896151e-36	4.150286660738981e-34
ENSG00000072954.7|TMEM38A|protein_coding	3.0416306968352775	1.076326741317214	0.08568055247469243	12.56208918161598	3.412027548824096e-36	4.3629993987816336e-34
ENSG00000148484.18|RSU1|protein_coding	25.142146326544776	0.7418191978875321	0.05908364148461581	12.555407541708254	3.7126474727595596e-36	4.718458004556555e-34
ENSG00000134830.6|C5AR2|protein_coding	3.420474667010792	-1.4893007840051695	0.11872813109311678	-12.543790340952407	4.299293647147801e-36	5.398203463102507e-34
ENSG00000187741.15|FANCA|protein_coding	1.2145805272691579	1.1725016287977912	0.09347231588898927	12.54383843650875	4.296684386744207e-36	5.398203463102507e-34
ENSG00000146918.20|NCAPG2|protein_coding	5.713535508242414	0.7525893424784191	0.06001693741352995	12.539615896974421	4.531867560977719e-36	5.656150633141234e-34
ENSG00000068878.15|PSME4|protein_coding	15.492969198046646	0.670872412227386	0.05350989341302535	12.537352804071979	4.663135798615966e-36	5.785341633961463e-34
ENSG00000119699.8|TGFB3|protein_coding	14.546183639946523	-0.9649895222950746	0.07700484515771396	-12.53154292198985	5.017689637933242e-36	6.188384918546897e-34
ENSG00000096063.16|SRPK1|protein_coding	6.45520435923098	0.7160391972194696	0.05719914573645872	12.518354741145485	5.925060062879925e-36	7.264472170035664e-34
ENSG00000138778.13|CENPE|protein_coding	2.3068406098050085	0.9730313614336847	0.07773492193731593	12.51730029674848	6.004284935783782e-36	7.318556193949787e-34
ENSG00000168350.8|DEGS2|protein_coding	21.51620778720398	-1.5640205632064113	0.1249811428286699	-12.514052342683769	6.25499291096835e-36	7.579814956006588e-34
ENSG00000140451.13|PIF1|protein_coding	0.6793065790116776	1.689577263626822	0.1350197437962116	12.513557025977919	6.294129657541714e-36	7.583152858505315e-34
ENSG00000102900.13|NUP93|protein_coding	4.7322008036500645	0.6302434267287742	0.05036830074796344	12.512699800662961	6.362437933563689e-36	7.594184471108869e-34
